"filename", "language", "C++", "Dart", "Markdown", "YAML", "Python", "PowerShell", "Swift", "JSON", "XML", "HTML", "Kotlinscript", "Java Properties", "Kotlin", "comment", "blank", "total"
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\MIGRATION_CHECKLIST.md", "Markdown", 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 60
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\README.md", "Markdown", 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 102
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\analysis_options.yaml", "YAML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 4, 29
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\android\app\build.gradle.kts", "Kotlinscript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 6, 7, 45
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 4, 1, 8
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 11, 1, 46
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\android\app\src\main\kotlin\com\example\app\MainActivity.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 3, 6
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 7, 2, 13
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 7, 2, 13
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 9, 1, 19
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 9, 1, 19
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 4, 1, 8
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\android\build.gradle.kts", "Kotlinscript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 4, 22
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\android\build\reports\problems\problems-report.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 548, 0, 0, 0, 2, 114, 664
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\android\gradle.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\android\gradle\wrapper\gradle-wrapper.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\android\settings.gradle.kts", "Kotlinscript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 5, 26
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\assets\translations\en.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 253, 0, 0, 0, 0, 0, 0, 0, 253
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\assets\translations\it.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 263, 0, 0, 0, 0, 0, 0, 0, 263
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\devtools_options.yaml", "YAML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\flutter_launcher_icons.yaml", "YAML", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 6, 36
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 4, 13
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\Emanuele\Progetti\LearningByProject\MUFANT-app\app\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
